#,Set Name,Prime Form,Vector,Description
339,9-9,01235678A,676683,Raga Ramdasi Malhar (r2) (211122111)
340,9-10,01234679A,668664,
341,9-11,01235679A,667773,
342,9-11,01235689A,667773,Diminishing Nonachord
343,9-12,01245689A,666963,Tsjerepnin/Messiaen mode 3 (112112112)
344,10-1,123456789,988884,Chromatic Decamirror
345,10-2,012345678A,898884,
346,10-3,012345679A,889884,
347,10-4,012345689A,888984,
348,10-5,012345789A,888894,Major-minor mixed (r7)
349,10-6,012346789A,888885,Messiaen mode 7 (1111211112)
